gadm36_2,Area Name,country_name,Country ISO3,Typology Class,Priority,Efficiency,Potential
NGA.14.13_1,Nsukka,Nigeria,NGA,Critical with moderate agricultural opportunities,52,0.051029,85453
NGA.18.12_1,Gwiwa,Nigeria,NGA,Critical with moderate agricultural opportunities,69,0.704665,73759
NGA.18.14_1,Jahun,Nigeria,NGA,Critical with moderate agricultural opportunities,72,0.717014,91745
NGA.18.15_1,KafinHau,Nigeria,NGA,Critical with moderate agricultural opportunities,50,0.558918,74815
NGA.18.16_1,Kaugama,Nigeria,NGA,Critical with moderate agricultural opportunities,66,0.725943,73451
NGA.18.19_1,Kiyawa,Nigeria,NGA,Critical with moderate agricultural opportunities,60,0.722374,89661
NGA.18.1_1,Auyo,Nigeria,NGA,Critical with moderate agricultural opportunities,61,0.733868,96114
NGA.18.20_1,Maigatari,Nigeria,NGA,Critical with moderate agricultural opportunities,56,0.743321,58975
NGA.18.21_1,MalamMad,Nigeria,NGA,Critical with moderate agricultural opportunities,55,0.349081,72704
NGA.18.22_1,Miga,Nigeria,NGA,Critical with moderate agricultural opportunities,69,0.736179,97876
NGA.18.23_1,Ringim,Nigeria,NGA,Critical with moderate agricultural opportunities,54,0.291985,78205
NGA.18.24_1,Roni,Nigeria,NGA,Critical with moderate agricultural opportunities,71,0.727406,82800
NGA.18.25_1,Sule-Tan,Nigeria,NGA,Critical with moderate agricultural opportunities,57,0.781207,61098
NGA.18.26_1,Taura,Nigeria,NGA,Critical with moderate agricultural opportunities,68,0.714695,91068
NGA.18.27_1,Yankwashi,Nigeria,NGA,Critical with moderate agricultural opportunities,64,0.728346,81076
NGA.18.2_1,Babura,Nigeria,NGA,Critical with moderate agricultural opportunities,58,0.72355,88131
NGA.18.3_1,Biriniwa,Nigeria,NGA,Critical with moderate agricultural opportunities,49,0.743383,56438
NGA.18.5_1,Buji,Nigeria,NGA,Critical with moderate agricultural opportunities,43,0.722903,91204
NGA.18.6_1,Dutse,Nigeria,NGA,Critical with moderate agricultural opportunities,59,0.7193,92056
NGA.18.7_1,Gagarawa,Nigeria,NGA,Critical with moderate agricultural opportunities,66,0.77965,61287
NGA.18.8_1,Garki,Nigeria,NGA,Critical with moderate agricultural opportunities,58,0.725726,83440
NGA.18.9_1,Gumel,Nigeria,NGA,Critical with moderate agricultural opportunities,56,0.737867,65585
NGA.2.6_1,Guyuk,Nigeria,NGA,Critical with moderate agricultural opportunities,47,0.631092,96395
NGA.20.16_1,Gaya,Nigeria,NGA,Critical with moderate agricultural opportunities,48,0.651713,88199
NGA.20.19_1,Gwarzo,Nigeria,NGA,Critical with moderate agricultural opportunities,63,0.619368,96729
NGA.20.1_1,Ajingi,Nigeria,NGA,Critical with moderate agricultural opportunities,47,0.657131,82600
NGA.20.20_1,Kabo,Nigeria,NGA,Critical with moderate agricultural opportunities,48,0.373263,88336
NGA.20.22_1,Karaye,Nigeria,NGA,Critical with moderate agricultural opportunities,43,0.614289,68380
NGA.20.26_1,Kunchi,Nigeria,NGA,Critical with moderate agricultural opportunities,57,0.670593,73894
NGA.20.29_1,Makoda,Nigeria,NGA,Critical with moderate agricultural opportunities,55,0.757398,77607
NGA.20.32_1,Rano,Nigeria,NGA,Critical with moderate agricultural opportunities,42,0.661146,80915
NGA.20.33_1,RiminGad,Nigeria,NGA,Critical with moderate agricultural opportunities,43,0.664571,97511
NGA.20.34_1,Rogo,Nigeria,NGA,Critical with moderate agricultural opportunities,54,0.642936,94299
NGA.20.35_1,Shanono,Nigeria,NGA,Critical with moderate agricultural opportunities,57,0.659078,81693
NGA.20.3_1,Bagwai,Nigeria,NGA,Critical with moderate agricultural opportunities,50,0.661959,82218
NGA.20.40_1,Tsanyawa,Nigeria,NGA,Critical with moderate agricultural opportunities,55,0.647516,77918
NGA.20.4_1,Bebeji,Nigeria,NGA,Critical with moderate agricultural opportunities,52,0.642322,94300
NGA.20.5_1,Bichi,Nigeria,NGA,Critical with moderate agricultural opportunities,45,0.666934,80156
NGA.20.8_1,Dambatta,Nigeria,NGA,Critical with moderate agricultural opportunities,54,0.667275,77934
NGA.21.10_1,Daura,Nigeria,NGA,Critical with moderate agricultural opportunities,51,0.699515,62839
NGA.21.11_1,Dutsi,Nigeria,NGA,Critical with moderate agricultural opportunities,59,0.715114,65663
NGA.21.15_1,Ingawa,Nigeria,NGA,Critical with moderate agricultural opportunities,63,0.695319,73698
NGA.21.16_1,Jibia,Nigeria,NGA,Critical with moderate agricultural opportunities,57,0.753075,62703
NGA.21.18_1,Kaita,Nigeria,NGA,Critical with moderate agricultural opportunities,71,0.711454,73150
NGA.21.19_1,Kankara,Nigeria,NGA,Critical with moderate agricultural opportunities,72,0.681883,88263
NGA.21.22_1,Kurfi,Nigeria,NGA,Critical with moderate agricultural opportunities,46,0.710346,69140
NGA.21.23_1,Kusada,Nigeria,NGA,Critical with moderate agricultural opportunities,54,0.698718,77337
NGA.21.24_1,Mai'Adua,Nigeria,NGA,Critical with moderate agricultural opportunities,55,0.716574,64156
NGA.21.25_1,Malumfashi,Nigeria,NGA,Critical with moderate agricultural opportunities,58,0.73038,90339
NGA.21.26_1,Mani,Nigeria,NGA,Critical with moderate agricultural opportunities,65,0.725225,80050
NGA.21.27_1,Mashi,Nigeria,NGA,Critical with moderate agricultural opportunities,60,0.715659,63389
NGA.21.28_1,Matazu,Nigeria,NGA,Critical with moderate agricultural opportunities,42,0.601027,76222
NGA.21.29_1,Musawa,Nigeria,NGA,Critical with moderate agricultural opportunities,62,0.694701,79482
NGA.21.2_1,Batagarawa,Nigeria,NGA,Critical with moderate agricultural opportunities,62,0.714873,70551
NGA.21.30_1,Rimi,Nigeria,NGA,Critical with moderate agricultural opportunities,69,0.717577,66842
NGA.21.33_1,Sandamu,Nigeria,NGA,Critical with moderate agricultural opportunities,58,0.716901,66312
NGA.21.34_1,Zango,Nigeria,NGA,Critical with moderate agricultural opportunities,56,0.739941,68926
NGA.21.3_1,Batsari,Nigeria,NGA,Critical with moderate agricultural opportunities,55,0.719122,73447
NGA.21.4_1,Baure,Nigeria,NGA,Critical with moderate agricultural opportunities,62,0.70605,70461
NGA.21.5_1,Bindawa,Nigeria,NGA,Critical with moderate agricultural opportunities,62,0.701859,77524
NGA.21.6_1,Charanchi,Nigeria,NGA,Critical with moderate agricultural opportunities,45,0.705671,73494
NGA.21.9_1,Danmusa,Nigeria,NGA,Critical with moderate agricultural opportunities,68,0.683697,86038
NGA.3.26_1,Oruk-Ana,Nigeria,NGA,Critical with moderate agricultural opportunities,44,0.740039,88063
NGA.3.2_1,Eastern Obolo,Nigeria,NGA,Critical with moderate agricultural opportunities,45,0.35857,83317
NGA.33.14_1,Khana,Nigeria,NGA,Critical with moderate agricultural opportunities,44,0.395395,94122
NGA.33.17_1,Ogu/Bolo,Nigeria,NGA,Critical with moderate agricultural opportunities,64,0.420208,85428
NGA.33.18_1,Okrika,Nigeria,NGA,Critical with moderate agricultural opportunities,45,0.420898,84529
NGA.33.23_1,Tai,Nigeria,NGA,Critical with moderate agricultural opportunities,59,0.561218,95420
NGA.36.10_1,Karasuwa,Nigeria,NGA,Critical with moderate agricultural opportunities,56,0.806774,48881
NGA.36.11_1,Machina,Nigeria,NGA,Critical with moderate agricultural opportunities,51,0.762987,47371
NGA.36.12_1,Nangere,Nigeria,NGA,Critical with moderate agricultural opportunities,64,0.411742,62781
NGA.36.14_1,Potiskum,Nigeria,NGA,Critical with moderate agricultural opportunities,56,0.0165,56802
NGA.36.15_1,Tarmuwa,Nigeria,NGA,Critical with moderate agricultural opportunities,46,0.76142,57356
NGA.36.16_1,Yunusari,Nigeria,NGA,Critical with moderate agricultural opportunities,59,0.760263,46484
NGA.36.17_1,Yusufari,Nigeria,NGA,Critical with moderate agricultural opportunities,51,0.764861,43528
NGA.36.1_1,Bade,Nigeria,NGA,Critical with moderate agricultural opportunities,62,0.743663,64119
NGA.36.2_1,Borsari,Nigeria,NGA,Critical with moderate agricultural opportunities,53,0.76431,48924
NGA.36.4_1,Fika,Nigeria,NGA,Critical with moderate agricultural opportunities,61,0.747137,85581
NGA.36.5_1,Fune,Nigeria,NGA,Critical with moderate agricultural opportunities,57,0.815214,54670
NGA.36.6_1,Geidam,Nigeria,NGA,Critical with moderate agricultural opportunities,57,0.696801,53554
NGA.36.7_1,Gujba,Nigeria,NGA,Critical with moderate agricultural opportunities,48,0.400066,96964
NGA.36.9_1,Jakusko,Nigeria,NGA,Critical with moderate agricultural opportunities,64,0.753364,60935
NGA.37.8_1,Kaura-Na,Nigeria,NGA,Critical with moderate agricultural opportunities,55,0.677568,89043
NGA.5.12_1,Katagum,Nigeria,NGA,Critical with moderate agricultural opportunities,42,0.772004,73526
NGA.5.16_1,Shira,Nigeria,NGA,Critical with moderate agricultural opportunities,51,0.708808,82392
NGA.5.19_1,Warji,Nigeria,NGA,Critical with moderate agricultural opportunities,53,0.757701,94527
NGA.5.20_1,Zaki,Nigeria,NGA,Critical with moderate agricultural opportunities,55,0.760655,66025
NGA.5.4_1,Damban,Nigeria,NGA,Critical with moderate agricultural opportunities,59,0.795847,80983
NGA.5.7_1,Gamawa,Nigeria,NGA,Critical with moderate agricultural opportunities,62,0.869188,63008
NGA.6.4_1,Nembe,Nigeria,NGA,Critical with moderate agricultural opportunities,43,0.518448,93777
NGA.8.24_1,Mobbar,Nigeria,NGA,Critical with moderate agricultural opportunities,45,0.687691,69478
NGA.9.15_1,Odukpani,Nigeria,NGA,Critical with moderate agricultural opportunities,45,0.021173,81310
NGA.9.4_1,Bakassi,Nigeria,NGA,Critical with moderate agricultural opportunities,44,0.463344,73775
NGA.9.9_1,Calabar South,Nigeria,NGA,Critical with moderate agricultural opportunities,43,0.517923,68665
NGA.10.10_1,IsokoSou,Nigeria,NGA,High performance,11,0.753115,117714
NGA.10.11_1,Ndokwa East,Nigeria,NGA,High performance,8,0.699584,108331
NGA.10.15_1,Oshimili South,Nigeria,NGA,High performance,7,0.710999,103770
NGA.10.16_1,Patani,Nigeria,NGA,High performance,8,0.695637,120885
NGA.10.17_1,Sapele,Nigeria,NGA,High performance,10,0.699013,126100
NGA.10.19_1,Ughelli North,Nigeria,NGA,High performance,10,0.688027,124960
NGA.10.20_1,Ughelli South,Nigeria,NGA,High performance,12,0.700911,112717
NGA.10.21_1,Ukwuani,Nigeria,NGA,High performance,4,0.678817,135698
NGA.10.25_1,Warri South-West,Nigeria,NGA,High performance,26,0.692315,110668
NGA.10.3_1,Bomadi,Nigeria,NGA,High performance,17,0.701226,107819
NGA.10.4_1,Burutu,Nigeria,NGA,High performance,29,0.687069,111833
NGA.10.6_1,EthiopeE,Nigeria,NGA,High performance,12,0.694569,118401
NGA.10.9_1,IsokoNor,Nigeria,NGA,High performance,8,0.692878,122774
NGA.12.16_1,Owan East,Nigeria,NGA,High performance,31,0.790258,129679
NGA.12.18_1,Uhunmwonde,Nigeria,NGA,High performance,15,0.701774,130225
NGA.13.9_1,Ijero,Nigeria,NGA,High performance,13,0.716987,200214
NGA.14.17_1,Uzo-Uwani,Nigeria,NGA,High performance,37,0.725416,130148
NGA.15.5_1,Kuje,Nigeria,NGA,High performance,25,0.715457,171988
NGA.15.6_1,Kwali,Nigeria,NGA,High performance,24,0.770996,186884
NGA.16.10_1,Shomgom,Nigeria,NGA,High performance,16,0.778613,145532
NGA.16.11_1,Yamaltu,Nigeria,NGA,High performance,23,0.748833,119383
NGA.16.1_1,Akko,Nigeria,NGA,High performance,19,0.710209,127393
NGA.16.3_1,Billiri,Nigeria,NGA,High performance,13,0.767823,108382
NGA.16.4_1,Dukku,Nigeria,NGA,High performance,39,0.693118,146783
NGA.16.5_1,Funakaye,Nigeria,NGA,High performance,30,0.709855,116129
NGA.16.7_1,Kaltungo,Nigeria,NGA,High performance,23,0.688574,149130
NGA.16.8_1,Kwami,Nigeria,NGA,High performance,15,0.721752,150703
NGA.19.13_1,Kaura,Nigeria,NGA,High performance,33,0.739056,162970
NGA.19.3_1,Giwa,Nigeria,NGA,High performance,37,0.725836,117540
NGA.22.12_1,Jega,Nigeria,NGA,High performance,31,0.740283,101810
NGA.23.11_1,Kotonkar,Nigeria,NGA,High performance,7,0.706669,141408
NGA.24.11_1,Kaiama,Nigeria,NGA,High performance,41,0.773026,126100
NGA.24.12_1,Moro,Nigeria,NGA,High performance,26,0.698115,137477
NGA.24.15_1,Oyun,Nigeria,NGA,High performance,18,0.701405,132142
NGA.24.16_1,Pategi,Nigeria,NGA,High performance,22,0.742081,123308
NGA.24.1_1,Asa,Nigeria,NGA,High performance,28,0.695646,141046
NGA.24.3_1,Edu,Nigeria,NGA,High performance,20,0.799951,150639
NGA.24.6_1,Ilorin East,Nigeria,NGA,High performance,18,0.771794,142983
NGA.24.7_1,Ilorin South,Nigeria,NGA,High performance,17,0.688353,129449
NGA.27.10_1,Katcha,Nigeria,NGA,High performance,17,0.753071,176300
NGA.27.12_1,Lapai,Nigeria,NGA,High performance,23,0.754774,141901
NGA.27.13_1,Lavun,Nigeria,NGA,High performance,10,0.77046,133441
NGA.27.16_1,Mashegu,Nigeria,NGA,High performance,33,0.69675,137713
NGA.27.17_1,Mokwa,Nigeria,NGA,High performance,21,0.743709,153596
NGA.27.19_1,Paikoro,Nigeria,NGA,High performance,37,0.744141,199014
NGA.27.1_1,Agaie,Nigeria,NGA,High performance,17,0.757895,160976
NGA.27.21_1,Rijau,Nigeria,NGA,High performance,31,0.73928,160830
NGA.27.23_1,Suleja,Nigeria,NGA,High performance,6,0.751869,226672
NGA.27.24_1,Tafa,Nigeria,NGA,High performance,6,0.76411,184268
NGA.27.25_1,Wushishi,Nigeria,NGA,High performance,12,0.743311,190567
NGA.27.3_1,Bida,Nigeria,NGA,High performance,2,0.71887,139840
NGA.27.5_1,Bosso,Nigeria,NGA,High performance,17,0.753306,178163
NGA.27.6_1,Chanchaga,Nigeria,NGA,High performance,17,0.786769,118985
NGA.27.7_1,Edati,Nigeria,NGA,High performance,6,0.751535,152507
NGA.27.8_1,Gbako,Nigeria,NGA,High performance,9,0.715331,123766
NGA.27.9_1,Gurara,Nigeria,NGA,High performance,23,0.716471,255806
NGA.28.16_1,Odeda,Nigeria,NGA,High performance,32,0.748329,162341
NGA.29.11_1,IleOluji/Okeigbo,Nigeria,NGA,High performance,25,0.820851,196259
NGA.29.12_1,Irele,Nigeria,NGA,High performance,15,0.754061,132791
NGA.29.13_1,Odigbo,Nigeria,NGA,High performance,14,0.802986,118685
NGA.29.15_1,Ondo East,Nigeria,NGA,High performance,20,0.772208,179550
NGA.29.17_1,Ose,Nigeria,NGA,High performance,16,0.747844,147454
NGA.29.18_1,Owo,Nigeria,NGA,High performance,18,0.7386,164416
NGA.29.2_1,Akoko South-East,Nigeria,NGA,High performance,13,0.742924,151821
NGA.29.3_1,Akoko South-West,Nigeria,NGA,High performance,16,0.75336,139578
NGA.29.4_1,AkokoNorthWest,Nigeria,NGA,High performance,9,0.745061,146094
NGA.29.6_1,Akure South,Nigeria,NGA,High performance,10,0.71769,207211
NGA.29.7_1,Ese-Odo,Nigeria,NGA,High performance,22,0.762284,114199
NGA.29.8_1,Idanre,Nigeria,NGA,High performance,18,0.768036,195127
NGA.29.9_1,Ifedore,Nigeria,NGA,High performance,13,0.724241,183834
NGA.30.20_1,Irepodun,Nigeria,NGA,High performance,35,0.813195,139160
NGA.31.12_1,Ibarapa East,Nigeria,NGA,High performance,35,0.758907,182584
NGA.31.14_1,Ido,Nigeria,NGA,High performance,27,0.714319,184225
NGA.31.16_1,Iseyin,Nigeria,NGA,High performance,37,0.819866,178699
NGA.31.17_1,Itesiwaju,Nigeria,NGA,High performance,31,0.706131,178950
NGA.31.18_1,Iwajowa,Nigeria,NGA,High performance,41,0.740725,110054
NGA.31.19_1,Kajola,Nigeria,NGA,High performance,34,0.703457,183144
NGA.31.1_1,Afijio,Nigeria,NGA,High performance,20,0.731184,137887
NGA.31.24_1,Olorunsogo,Nigeria,NGA,High performance,41,0.73338,125060
NGA.31.25_1,Oluyole,Nigeria,NGA,High performance,21,0.740489,119328
NGA.31.27_1,Orelope,Nigeria,NGA,High performance,39,0.737455,118128
NGA.31.29_1,Oyo East,Nigeria,NGA,High performance,31,0.718121,170601
NGA.31.30_1,Oyo West,Nigeria,NGA,High performance,28,0.724508,155243
NGA.31.31_1,Saki East,Nigeria,NGA,High performance,21,0.737372,122006
NGA.31.32_1,Saki West,Nigeria,NGA,High performance,32,0.737434,121921
NGA.31.4_1,Atisbo,Nigeria,NGA,High performance,31,0.739989,110533
NGA.32.15_1,Riyom,Nigeria,NGA,High performance,30,0.738175,180364
NGA.32.1_1,Barkin Ladi,Nigeria,NGA,High performance,24,0.740811,177984
NGA.32.4_1,Jos East,Nigeria,NGA,High performance,39,0.713184,260595
NGA.32.5_1,Jos North,Nigeria,NGA,High performance,35,0.692795,170917
NGA.32.6_1,Jos South,Nigeria,NGA,High performance,35,0.751779,163890
NGA.34.18_1,Tambawal,Nigeria,NGA,High performance,37,0.680461,136539
NGA.37.2_1,Bakura,Nigeria,NGA,High performance,40,0.68007,139307
NGA.4.10_1,Idemili North,Nigeria,NGA,High performance,5,0.709202,138900
NGA.4.11_1,Idemili South,Nigeria,NGA,High performance,5,0.712005,130682
NGA.4.13_1,Njikoka,Nigeria,NGA,High performance,5,0.714103,130528
NGA.4.14_1,NnewiNort,Nigeria,NGA,High performance,4,0.722393,118792
NGA.4.15_1,NnewiSou,Nigeria,NGA,High performance,7,0.715339,127777
NGA.4.18_1,Onitsha South,Nigeria,NGA,High performance,5,0.696241,152060
NGA.4.1_1,Aguata,Nigeria,NGA,High performance,5,0.72557,117613
NGA.4.3_1,Anambra West,Nigeria,NGA,High performance,28,0.67357,176256
NGA.4.4_1,Anaocha,Nigeria,NGA,High performance,5,0.726448,115230
NGA.4.6_1,AwkaSout,Nigeria,NGA,High performance,4,0.695729,151817
NGA.4.7_1,Ayamelum,Nigeria,NGA,High performance,28,0.835714,194979
NGA.4.9_1,Ekwusigo,Nigeria,NGA,High performance,8,0.699446,143402
NGA.5.13_1,Kirfi,Nigeria,NGA,High performance,41,0.777711,100209
NGA.7.4_1,Buruku,Nigeria,NGA,High performance,41,0.700076,190920
NGA.11.10_1,Izzi,Nigeria,NGA,High priority,78,0.136233,229546
NGA.11.11_1,Ohaozara,Nigeria,NGA,High priority,84,0.134708,227171
NGA.11.12_1,Ohaukwu,Nigeria,NGA,High priority,86,0.150561,249542
NGA.11.13_1,Onicha,Nigeria,NGA,High priority,81,0.032604,238858
NGA.11.1_1,Abakalik,Nigeria,NGA,High priority,86,0.242612,181386
NGA.11.2_1,Afikpo,Nigeria,NGA,High priority,75,0.12652,204630
NGA.11.3_1,AfikpoSo,Nigeria,NGA,High priority,50,0.124014,248822
NGA.11.4_1,Ebonyi,Nigeria,NGA,High priority,65,0.13195,216658
NGA.11.5_1,Ezza North,Nigeria,NGA,High priority,84,0.039222,221151
NGA.11.6_1,Ezza South,Nigeria,NGA,High priority,90,0.028306,248152
NGA.11.7_1,Ikwo,Nigeria,NGA,High priority,91,0.123399,250492
NGA.11.8_1,Ishielu,Nigeria,NGA,High priority,68,0.143149,217178
NGA.11.9_1,Ivo,Nigeria,NGA,High priority,58,0.342067,268106
NGA.14.10_1,Isi-Uzo,Nigeria,NGA,High priority,73,0.063794,154427
NGA.14.11_1,Nkanu East,Nigeria,NGA,High priority,53,0.508064,161280
NGA.14.15_1,Udenu,Nigeria,NGA,High priority,55,0.414907,147422
NGA.14.1_1,Aninri,Nigeria,NGA,High priority,65,0.377818,191028
NGA.14.2_1,Awgu,Nigeria,NGA,High priority,42,0.089257,128030
NGA.14.7_1,Igbo-Eti,Nigeria,NGA,High priority,52,0.437629,133195
NGA.14.8_1,Igbo-eze North,Nigeria,NGA,High priority,45,0.335199,132822
NGA.14.9_1,Igbo-eze South,Nigeria,NGA,High priority,51,0.471411,114213
NGA.16.2_1,Balanga,Nigeria,NGA,High priority,44,0.616795,151842
NGA.16.9_1,Nafada,Nigeria,NGA,High priority,47,0.621518,120887
NGA.18.10_1,Guri,Nigeria,NGA,High priority,56,0.689469,111692
NGA.18.11_1,Gwaram,Nigeria,NGA,High priority,52,0.700246,116151
NGA.18.13_1,Hadejia,Nigeria,NGA,High priority,42,0.701771,98558
NGA.18.17_1,Kazaure,Nigeria,NGA,High priority,68,0.752969,115513
NGA.18.18_1,KiriKasa,Nigeria,NGA,High priority,52,0.681997,125441
NGA.19.12_1,Kajuru,Nigeria,NGA,High priority,46,0.523859,232718
NGA.19.14_1,Kauru,Nigeria,NGA,High priority,45,0.575038,160999
NGA.19.15_1,Kubau,Nigeria,NGA,High priority,50,0.607013,134620
NGA.19.17_1,Lere,Nigeria,NGA,High priority,47,0.698119,160098
NGA.19.18_1,Makarfi,Nigeria,NGA,High priority,45,0.681305,102081
NGA.19.1_1,Birnin-G,Nigeria,NGA,High priority,45,0.565701,161803
NGA.19.2_1,Chikun,Nigeria,NGA,High priority,42,0.556594,160000
NGA.19.5_1,Ikara,Nigeria,NGA,High priority,58,0.616529,101899
NGA.19.8_1,Kachia,Nigeria,NGA,High priority,44,0.604471,136079
NGA.2.10_1,Madagali,Nigeria,NGA,High priority,52,0.188467,123019
NGA.2.12_1,Mayo-Bel,Nigeria,NGA,High priority,60,0.676705,165876
NGA.2.13_1,Michika,Nigeria,NGA,High priority,61,0.390039,120588
NGA.2.14_1,Mubi North,Nigeria,NGA,High priority,49,0.593974,136037
NGA.2.16_1,Numan,Nigeria,NGA,High priority,74,0.586142,128243
NGA.2.17_1,Shelleng,Nigeria,NGA,High priority,59,0.592641,129845
NGA.2.18_1,Song,Nigeria,NGA,High priority,58,0.37852,192052
NGA.2.19_1,Teungo,Nigeria,NGA,High priority,52,0.759634,129986
NGA.2.1_1,Demsa,Nigeria,NGA,High priority,66,0.606536,123165
NGA.2.21_1,Yola South,Nigeria,NGA,High priority,42,0.546794,131758
NGA.2.2_1,Fufore,Nigeria,NGA,High priority,49,0.559049,164398
NGA.2.3_1,Ganye,Nigeria,NGA,High priority,50,0.643547,122074
NGA.2.4_1,Girie,Nigeria,NGA,High priority,69,0.495244,135907
NGA.2.5_1,Gombi,Nigeria,NGA,High priority,51,0.49897,131708
NGA.2.7_1,Hong,Nigeria,NGA,High priority,57,0.703603,130003
NGA.2.8_1,Jada,Nigeria,NGA,High priority,47,0.542503,184805
NGA.2.9_1,Lamurde,Nigeria,NGA,High priority,67,0.579674,141927
NGA.20.11_1,Doguwa,Nigeria,NGA,High priority,52,0.549665,169685
NGA.20.15_1,Garum Mallam,Nigeria,NGA,High priority,43,0.638785,99616
NGA.20.24_1,Kiru,Nigeria,NGA,High priority,54,0.56493,99950
NGA.20.36_1,Sumaila,Nigeria,NGA,High priority,52,0.622663,105858
NGA.20.41_1,Tundun Wada,Nigeria,NGA,High priority,60,0.711498,114438
NGA.21.13_1,Faskari,Nigeria,NGA,High priority,61,0.670328,103820
NGA.21.14_1,Funtua,Nigeria,NGA,High priority,59,0.667854,115946
NGA.21.17_1,Kafur,Nigeria,NGA,High priority,57,0.678524,97957
NGA.21.1_1,Bakori,Nigeria,NGA,High priority,64,0.680553,100417
NGA.21.31_1,Sabuwa,Nigeria,NGA,High priority,50,0.659837,119885
NGA.21.7_1,Dandume,Nigeria,NGA,High priority,62,0.670108,112034
NGA.21.8_1,Danja,Nigeria,NGA,High priority,49,0.776143,106488
NGA.22.10_1,Fakai,Nigeria,NGA,High priority,46,0.584327,151984
NGA.22.17_1,Sakaba,Nigeria,NGA,High priority,43,0.594969,145212
NGA.22.18_1,Shanga,Nigeria,NGA,High priority,46,0.590344,147710
NGA.22.9_1,Danko Wasagu,Nigeria,NGA,High priority,51,0.604734,136288
NGA.24.2_1,Baruten,Nigeria,NGA,High priority,51,0.845813,136181
NGA.26.8_1,Lafia,Nigeria,NGA,High priority,42,0.587924,157622
NGA.27.11_1,Kontogur,Nigeria,NGA,High priority,53,0.380675,178104
NGA.27.14_1,Magama,Nigeria,NGA,High priority,42,0.739885,157401
NGA.27.15_1,Mariga,Nigeria,NGA,High priority,53,0.782078,185155
NGA.27.18_1,Muya,Nigeria,NGA,High priority,43,0.747473,167434
NGA.27.22_1,Shiroro,Nigeria,NGA,High priority,42,0.725539,204460
NGA.27.4_1,Borgu,Nigeria,NGA,High priority,48,0.749776,134985
NGA.28.19_1,Remo-North,Nigeria,NGA,High priority,42,0.487883,124079
NGA.3.18_1,Mkpat Enin,Nigeria,NGA,High priority,46,0.06587,98128
NGA.3.19_1,Nsit Atai,Nigeria,NGA,High priority,42,0.059647,133722
NGA.30.10_1,Ejigbo,Nigeria,NGA,High priority,43,0.141893,144399
NGA.30.7_1,Ede North,Nigeria,NGA,High priority,48,0.543309,154268
NGA.30.9_1,Egbedore,Nigeria,NGA,High priority,45,0.109427,140021
NGA.31.15_1,Irepo,Nigeria,NGA,High priority,45,0.823606,122199
NGA.31.22_1,Ogbomosho South,Nigeria,NGA,High priority,46,0.714756,179716
NGA.31.23_1,Ogo-Oluw,Nigeria,NGA,High priority,47,0.436458,155398
NGA.31.28_1,Ori-Ire,Nigeria,NGA,High priority,45,0.853367,145332
NGA.31.33_1,Surulere,Nigeria,NGA,High priority,47,0.719743,155366
NGA.31.3_1,Atiba,Nigeria,NGA,High priority,45,0.741252,106507
NGA.32.10_1,Langtang South,Nigeria,NGA,High priority,52,0.739223,207595
NGA.32.12_1,Mikang,Nigeria,NGA,High priority,55,0.73875,183254
NGA.32.14_1,Qua'anpa,Nigeria,NGA,High priority,42,0.737746,169045
NGA.32.16_1,Shendam,Nigeria,NGA,High priority,44,0.663686,202969
NGA.32.17_1,Wase,Nigeria,NGA,High priority,55,0.7991,235695
NGA.32.2_1,Bassa,Nigeria,NGA,High priority,48,0.721086,195719
NGA.32.3_1,Bokkos,Nigeria,NGA,High priority,48,0.739713,160200
NGA.32.7_1,Kanam,Nigeria,NGA,High priority,43,0.727193,186734
NGA.32.8_1,Kanke,Nigeria,NGA,High priority,48,0.729053,182444
NGA.32.9_1,Langtang North,Nigeria,NGA,High priority,65,0.693904,157793
NGA.33.9_1,Eleme,Nigeria,NGA,High priority,43,0.371969,105524
NGA.35.10_1,Lau,Nigeria,NGA,High priority,50,0.562964,178434
NGA.35.11_1,Sardauna,Nigeria,NGA,High priority,55,0.120707,149317
NGA.35.12_1,Takum,Nigeria,NGA,High priority,53,0.624588,173905
NGA.35.13_1,Ussa,Nigeria,NGA,High priority,49,0.562477,170647
